what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680281945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680288772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680292981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680295287
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1348680317326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680323236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680346199
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1348680350251
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1348680350285
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1348680350288
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1348680355628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680358380
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680360972
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1348680361446
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1348680361470
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1348680371148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680373516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680376068
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1348680376614
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1348680376656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680383226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680869319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348680878157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348681731456
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1348681733762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348681756747
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348681759397
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348681759521
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1348681760260
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1348681760946
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1348681760973
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1348681761068
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1348681761136
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1348681761171
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1348681761181
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1348681761189
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1348681761189
